iq,prev_sem_result,cgpa,academic_performance,internship_experience,extra_curricular_score,communication_skills,projects_completed,cgpa_bucket,has_internship,academic_score,skill_score
98,9.77,9.58,4,No,4,3,0,high,0,6.308,7
90,5.92,5.42,7,No,7,6,1,low,0,6.568,14
126,8.03,7.76,5,No,0,10,3,high,0,6.212,13
95,6.06,5.65,10,Yes,10,2,2,low,1,8.424,14
127,8.07,7.66,6,No,1,8,3,high,0,6.827999999999999,12
112,8.61,8.8,1,Yes,2,7,5,high,1,4.044,14
107,8.61,8.32,4,Yes,6,2,2,high,1,5.843999999999999,10
105,9.08,9.51,5,No,7,5,2,high,0,6.632,14
105,9.27,9.29,6,Yes,3,4,3,high,1,7.308,10
71,5.39,5.35,6,No,7,2,0,low,0,5.756,9
95,6.72,6.65,5,Yes,0,4,3,medium,1,5.688000000000001,7
112,8.44,8.63,3,No,2,9,3,high,0,5.176,14
99,7.49,7.44,2,No,3,10,5,medium,0,4.196000000000001,18
78,5.95,5.58,7,No,4,2,0,low,0,6.58,6
99,7.76,8.14,1,No,10,10,0,high,0,3.704,20
125,7.04,6.97,5,Yes,8,10,5,medium,1,5.816000000000001,23
118,6.95,6.52,4,No,1,6,0,medium,0,5.18,7
99,9.05,9.08,7,Yes,6,4,0,high,1,7.82,10
114,7.04,7.19,2,Yes,2,8,5,medium,1,4.016,15
94,5.13,4.91,8,No,9,4,0,low,0,6.852,13
74,5.29,5.59,9,No,1,9,5,low,0,7.516,15
86,9.28,9.45,10,Yes,8,10,0,high,1,9.712,18
123,9.8,9.95,1,No,2,3,3,high,0,4.5200000000000005,8
95,8.44,8.36,5,No,7,7,5,high,0,6.3759999999999994,19
96,6.82,7.28,4,No,0,5,1,medium,0,5.128,6
95,9.69,9.46,5,Yes,4,1,1,high,1,6.8759999999999994,6
128,8.31,8.39,9,No,4,3,1,high,0,8.724,8
124,9.22,9.03,3,No,5,9,3,high,0,5.488,17
133,8.83,9.07,1,Yes,6,9,0,high,1,4.132,15
97,6.9,6.45,3,Yes,2,5,2,medium,1,4.5600000000000005,9
104,7.39,6.94,4,No,4,5,0,medium,0,5.356,9
77,5.93,6.24,2,No,7,4,4,medium,0,3.572,15
122,6.46,6.39,1,No,5,4,0,medium,0,3.184,9
82,8.89,8.73,1,No,1,4,5,high,0,4.156000000000001,10
103,9.47,9.58,8,No,6,2,5,high,0,8.588000000000001,13
83,8.62,8.82,4,No,2,7,1,high,0,5.848,10
91,7.33,7.03,2,No,9,3,0,medium,0,4.132000000000001,12
87,5.43,5.12,10,Yes,8,1,0,low,1,8.172,9
90,5.28,5.74,3,Yes,3,10,5,low,1,3.912,18
91,6.87,6.96,8,No,10,3,4,medium,0,7.548,17
91,7.32,7.21,6,No,3,9,2,medium,0,6.5280000000000005,14
112,8.05,8.35,8,No,3,9,2,high,0,8.02,14
83,5.03,5.06,10,No,9,10,1,low,0,8.012,20
103,9.95,9.69,5,Yes,9,7,5,high,1,6.98,21
118,6.82,6.53,3,Yes,7,1,2,medium,1,4.5280000000000005,10
92,9.24,9.14,6,No,0,6,1,high,0,7.295999999999999,7
89,7.67,8.03,10,Yes,2,10,3,high,1,9.068,15
96,5.65,5.21,8,No,7,1,4,low,0,7.0600000000000005,12
117,8.99,8.71,5,No,6,2,0,high,0,6.596,8
102,8.55,8.94,5,Yes,5,3,4,high,1,6.42,12
92,7.64,7.26,3,Yes,6,6,2,medium,1,4.856,14
107,7.57,7.7,3,No,0,7,5,high,0,4.828,12
83,5.44,5.15,8,Yes,7,8,0,low,1,6.976,15
110,8.28,8.39,1,No,3,9,4,high,0,3.912,16
106,9.56,9.44,4,No,0,7,4,high,0,6.224,11
95,5.47,5.07,9,Yes,3,6,5,low,1,7.587999999999999,14
87,6.32,6.4,6,No,1,5,5,medium,0,6.128,11
86,9.51,9.69,6,No,4,10,1,high,0,7.404,15
108,6.42,6.6,10,No,0,2,5,medium,0,8.568,7
118,8.27,8.41,7,No,0,8,5,high,0,7.508,13
90,7.67,7.67,7,Yes,4,5,5,high,1,7.268000000000001,14
106,7.98,8.0,6,No,1,10,3,high,0,6.792,14
68,7.08,7.22,9,Yes,8,2,4,medium,1,8.232,14
91,6.5,6.69,8,No,9,3,5,medium,0,7.4,17
99,5.24,5.39,8,Yes,6,10,0,low,1,6.896,16
86,8.72,8.81,2,Yes,3,10,3,high,1,4.688000000000001,16
85,8.73,8.39,7,No,6,7,3,high,0,7.692,16
89,8.35,8.06,1,Yes,7,10,5,high,1,3.94,22
104,8.22,7.98,10,No,7,8,0,high,0,9.288,15
97,6.22,6.64,8,No,7,5,3,medium,0,7.288,15
66,5.11,5.37,3,No,4,10,2,low,0,3.844,16
68,9.04,9.09,9,No,6,8,3,high,0,9.015999999999998,17
90,7.46,7.21,5,Yes,10,10,1,medium,1,5.984,21
106,6.53,6.14,7,No,6,10,3,medium,0,6.812,19
58,5.51,5.91,7,No,1,6,4,low,0,6.404,11
92,5.31,5.7,9,Yes,2,2,5,low,1,7.523999999999999,9
92,6.74,6.35,2,Yes,10,2,3,medium,1,3.896,15
120,9.02,9.32,4,No,1,8,1,high,0,6.008,10
94,9.59,9.54,8,Yes,2,4,1,high,1,8.636,7
105,9.48,9.3,5,No,8,8,5,high,0,6.792,21
102,9.6,9.84,5,Yes,6,9,3,high,1,6.84,18
68,9.54,9.65,3,No,3,6,2,high,0,5.616,11
111,7.64,7.92,5,Yes,7,9,3,high,1,6.056,19
103,6.1,5.67,7,No,6,6,0,low,0,6.640000000000001,12
107,8.99,8.81,4,Yes,9,3,1,high,1,5.996,13
158,6.07,5.89,8,No,5,8,3,low,0,7.228,16
68,6.34,6.17,6,Yes,3,1,2,medium,1,6.135999999999999,6
125,6.17,6.17,6,No,4,6,2,medium,0,6.068,12
95,7.57,7.35,6,Yes,9,3,2,medium,1,6.628,14
104,6.61,6.55,4,No,7,10,4,medium,0,5.0440000000000005,21
99,5.77,5.64,3,No,2,10,4,low,0,4.108,16
93,7.27,7.51,10,Yes,10,3,4,high,1,8.908,17
91,9.37,9.47,6,Yes,2,9,5,high,1,7.347999999999999,16
104,7.85,8.0,6,No,4,7,0,high,0,6.74,11
77,9.39,9.1,2,Yes,8,2,0,high,1,4.956,10
111,5.98,5.81,10,No,4,6,5,low,0,8.392,15
93,5.83,5.35,9,No,0,4,3,low,0,7.731999999999999,7
83,7.88,7.49,4,Yes,4,10,4,medium,1,5.552,18
93,7.32,7.09,4,No,8,7,4,medium,0,5.328,19
118,8.3,7.87,10,Yes,6,4,0,high,1,9.32,10
91,8.97,9.07,8,No,8,7,2,high,0,8.388,17
105,8.76,9.26,3,No,9,6,2,high,0,5.304,17
89,9.71,9.31,10,Yes,9,8,5,high,1,9.884,22
111,6.99,7.31,7,Yes,4,7,5,medium,1,6.996,16
110,6.03,5.65,7,No,2,9,5,low,0,6.612,16
127,7.75,7.92,2,No,1,4,1,high,0,4.3,6
97,5.55,5.69,3,Yes,8,9,5,low,1,4.02,22
110,6.44,6.84,4,Yes,4,5,3,medium,1,4.976000000000001,12
101,6.04,5.65,2,Yes,10,9,3,low,1,3.6160000000000005,22
119,6.98,6.8,9,No,0,4,4,medium,0,8.192,8
89,5.56,5.15,10,Yes,1,3,0,low,1,8.224,4
111,5.16,5.07,6,No,1,7,3,low,0,5.664,11
97,8.28,8.69,1,Yes,3,4,2,high,1,3.912,9
99,8.05,8.33,1,No,5,5,0,high,0,3.8200000000000007,10
101,8.54,8.76,8,Yes,7,3,4,high,1,8.216,14
103,8.3,8.33,6,Yes,2,6,5,high,1,6.92,13
98,5.57,5.95,10,No,9,4,4,low,0,8.228,17
103,6.46,6.41,7,Yes,9,1,3,medium,1,6.784000000000001,13
123,5.65,5.3,6,Yes,5,2,3,low,1,5.859999999999999,10
114,9.21,9.55,2,No,3,8,5,high,0,4.884,16
113,8.73,8.51,3,Yes,7,4,1,high,1,5.292,12
93,6.01,5.56,8,Yes,8,10,5,low,1,7.204,23
86,6.71,6.34,4,Yes,8,2,5,medium,1,5.084,15
114,9.83,9.94,8,No,5,4,3,high,0,8.732,12
113,7.97,8.08,3,Yes,1,7,3,high,1,4.9879999999999995,11
122,9.01,8.77,2,Yes,1,2,2,high,1,4.804,5
90,6.32,6.55,7,Yes,9,6,2,medium,1,6.728000000000001,17
96,6.05,6.32,1,No,8,1,0,medium,0,3.02,9
75,8.92,9.34,3,No,4,3,3,high,0,5.368,10
94,8.43,8.51,2,No,6,9,3,high,0,4.572,18
114,8.4,8.68,5,No,5,5,4,high,0,6.36,14
93,7.76,8.01,2,No,8,8,2,high,0,4.304,18
109,7.82,7.58,10,No,4,1,4,high,0,9.128,9
97,8.68,8.49,5,No,7,4,3,high,0,6.4719999999999995,14
104,6.35,6.33,3,Yes,3,3,2,medium,1,4.34,8
82,6.76,6.28,9,Yes,6,10,3,medium,1,8.104,19
101,9.36,9.16,10,No,8,9,1,high,0,9.744,18
55,6.54,6.51,9,Yes,1,7,5,medium,1,8.016,13
97,7.73,7.34,8,No,8,3,4,medium,0,7.892,15
75,8.51,8.14,5,No,7,1,2,high,0,6.404,10
118,10.0,9.96,10,Yes,9,5,2,high,1,10.0,16
111,7.18,7.41,7,No,0,10,3,medium,0,7.072,13
107,7.14,7.47,2,No,9,3,3,medium,0,4.056,15
122,9.21,9.26,3,Yes,6,2,0,high,1,5.484,8
85,9.03,9.0,2,No,4,3,0,high,0,4.812,7
126,8.66,8.54,10,No,4,5,4,high,0,9.464,13
113,7.32,7.01,1,No,6,5,2,medium,0,3.5280000000000005,13
96,6.62,6.27,3,No,10,10,3,medium,0,4.448,23
117,8.04,8.33,4,No,9,8,4,high,0,5.616,21
83,9.38,9.35,9,No,3,4,2,high,0,9.152000000000001,9
87,9.42,9.71,2,No,0,2,3,high,0,4.968,5
90,5.54,5.74,9,Yes,5,8,0,low,1,7.616,13
92,7.14,6.83,1,Yes,0,8,2,medium,1,3.456,10
84,7.32,7.33,9,No,10,10,3,medium,0,8.328,23
118,9.89,9.83,6,No,0,8,4,high,0,7.556,12
96,8.39,8.31,8,No,7,1,4,high,0,8.156,12
105,7.04,7.08,3,No,3,9,1,medium,0,4.616,13
91,5.13,5.61,8,No,4,4,2,low,0,6.852,10
72,7.83,8.14,9,Yes,9,4,4,high,1,8.532,17
104,5.48,5.88,7,No,9,8,2,low,0,6.392,19
71,9.17,8.7,4,No,0,8,4,high,0,6.068,12
98,8.76,8.4,6,Yes,9,6,2,high,1,7.103999999999999,17
79,7.3,6.88,6,Yes,6,4,2,medium,1,6.52,12
129,7.15,6.91,2,No,10,3,2,medium,0,4.0600000000000005,15
113,9.49,9.43,2,Yes,1,5,1,high,1,4.996,7
101,6.44,6.58,5,No,5,8,0,medium,0,5.5760000000000005,13
118,6.25,6.25,1,No,8,7,5,medium,0,3.1,20
87,9.7,10.1,5,Yes,1,8,2,,1,6.88,11
108,9.05,9.49,10,Yes,5,1,0,high,1,9.620000000000001,6
102,9.1,8.76,3,No,4,4,5,high,0,5.4399999999999995,13
103,5.98,6.33,3,Yes,1,9,0,medium,1,4.192,10
119,5.72,5.7,8,Yes,8,6,0,low,1,7.087999999999999,14
110,5.13,5.08,3,Yes,1,10,4,low,1,3.852,15
104,6.19,6.47,3,Yes,0,8,3,medium,1,4.276,11
75,8.87,8.46,1,No,8,8,5,high,0,4.148,21
85,6.2,6.58,8,No,8,5,0,medium,0,7.28,13
98,8.65,8.82,10,Yes,8,8,2,high,1,9.46,18
101,6.26,6.64,10,No,7,4,3,medium,0,8.504,14
83,6.98,7.47,6,Yes,3,6,4,medium,1,6.3919999999999995,13
136,9.92,9.94,8,No,8,7,1,high,0,8.768,16
122,6.22,5.81,3,No,1,6,0,low,0,4.288,7
109,6.88,6.55,6,Yes,0,6,0,medium,1,6.352,6
101,6.51,6.33,2,Yes,9,8,4,medium,1,3.8040000000000003,21
96,5.55,5.15,3,No,6,5,2,low,0,4.02,13
85,7.45,7.77,4,No,5,8,5,high,0,5.380000000000001,18
101,6.89,6.69,9,No,2,9,5,medium,0,8.155999999999999,16
103,8.47,8.95,4,No,1,4,5,high,0,5.788,10
81,9.09,9.29,7,No,7,3,2,high,0,7.836,12
105,7.72,7.39,8,Yes,3,5,3,medium,1,7.888,11
97,5.16,5.14,5,No,5,10,3,low,0,5.064,18
71,8.09,8.06,2,No,3,10,2,high,0,4.436,15
87,5.28,5.27,8,No,10,5,1,low,0,6.912,16
93,8.08,8.12,5,Yes,8,7,2,high,1,6.232,17
128,8.43,7.96,5,No,4,3,1,high,0,6.372,8
108,5.99,6.18,7,No,5,10,4,medium,0,6.596,19
79,9.1,9.09,6,No,8,9,5,high,0,7.24,22
107,9.56,9.85,3,No,5,6,1,high,0,5.6240000000000006,12
76,9.07,9.39,7,No,1,10,5,high,0,7.828,16
116,6.53,6.26,1,No,10,9,4,medium,0,3.212,23
92,7.93,7.48,4,Yes,0,1,5,medium,1,5.572,6
98,9.57,9.77,4,No,8,2,5,high,0,6.228,15
119,6.6,7.08,6,No,1,10,0,medium,0,6.24,11
80,9.1,9.05,6,No,1,2,2,high,0,7.24,5
79,5.05,4.81,10,Yes,3,8,3,low,1,8.02,14
91,5.02,4.68,8,Yes,9,4,0,low,1,6.808,13
115,8.8,8.59,1,No,9,7,3,high,0,4.12,19
77,8.81,8.64,7,No,2,4,1,high,0,7.724,7
57,8.94,8.86,4,No,6,4,2,high,0,5.976,12
93,9.65,9.81,6,No,6,8,2,high,0,7.46,16
108,5.59,5.36,10,Yes,2,10,2,low,1,8.236,14
118,6.16,5.71,9,No,2,4,0,low,0,7.864,6
93,9.52,9.39,3,No,8,3,4,high,0,5.608,15
93,5.89,6.25,8,No,6,10,1,medium,0,7.156,17
117,8.41,8.41,3,Yes,2,9,0,high,1,5.164,11
71,7.65,8.11,6,No,2,3,0,high,0,6.66,5
94,5.42,5.42,2,Yes,2,5,4,low,1,3.3680000000000003,11
102,6.43,6.21,9,Yes,8,1,3,medium,1,7.9719999999999995,12
106,7.6,7.29,2,No,7,9,3,medium,0,4.24,19
92,9.26,9.45,5,No,6,6,2,high,0,6.704000000000001,14
100,8.54,8.58,6,No,7,5,0,high,0,7.016,12
62,8.11,8.21,4,No,0,4,4,high,0,5.644,8
90,7.48,7.74,7,No,8,8,4,high,0,7.192,20
106,6.49,6.72,7,Yes,4,2,3,medium,1,6.796,9
85,5.6,5.14,7,No,4,10,4,low,0,6.4399999999999995,18
100,7.05,7.35,7,Yes,4,5,3,medium,1,7.0200000000000005,12
106,5.14,5.17,10,Yes,8,8,3,low,1,8.056000000000001,19
94,6.06,5.95,10,Yes,4,1,5,low,1,8.424,10
102,7.16,7.2,9,No,1,3,0,medium,0,8.264,4
85,7.09,7.2,2,Yes,5,7,5,medium,1,4.0360000000000005,17
96,5.22,4.87,5,Yes,6,10,1,low,1,5.088,17
109,7.95,7.87,10,No,10,5,5,high,0,9.18,20
102,7.75,7.59,9,Yes,6,10,2,high,1,8.5,18
91,5.39,5.24,2,Yes,6,9,1,low,1,3.356,16
103,9.72,9.31,3,Yes,10,1,4,high,1,5.688000000000001,15
110,5.5,5.16,7,No,1,7,5,low,0,6.4,13
69,9.27,8.93,9,No,5,10,1,high,0,9.108,16
117,5.0,4.87,3,Yes,8,6,1,low,1,3.8,15
94,9.41,9.8,10,No,0,10,3,high,0,9.764,13
106,5.1,4.81,8,No,2,4,0,low,0,6.84,6
117,8.79,8.71,8,Yes,5,10,4,high,1,8.315999999999999,19
79,6.81,6.62,4,No,6,10,2,medium,0,5.1240000000000006,18
89,8.69,8.98,6,No,1,6,3,high,0,7.076,10
95,7.01,6.56,8,Yes,9,10,2,medium,1,7.604,21
88,5.35,5.05,9,Yes,7,9,0,low,1,7.539999999999999,16
126,8.84,8.55,2,No,10,9,1,high,0,4.736,20
87,5.36,5.85,1,Yes,5,2,5,low,1,2.744,12
91,9.61,9.68,5,Yes,8,9,1,high,1,6.843999999999999,18
103,5.25,4.89,10,No,8,2,0,low,0,8.1,10
81,7.4,7.17,3,Yes,8,6,4,medium,1,4.76,18
94,8.62,8.29,6,No,8,7,3,high,0,7.048,18
104,6.97,6.59,1,Yes,1,9,1,medium,1,3.3880000000000003,11
95,6.09,6.39,4,Yes,9,6,5,medium,1,4.836,20
98,8.8,8.8,6,No,9,8,0,high,0,7.12,17
92,8.92,9.05,2,No,6,10,3,high,0,4.768,19
77,9.61,9.44,8,No,4,3,3,high,0,8.644,10
104,6.88,6.93,4,No,8,10,0,medium,0,5.152,18
126,7.53,7.29,2,No,0,6,1,medium,0,4.212000000000001,7
100,6.82,6.63,1,No,9,2,4,medium,0,3.3280000000000003,15
103,6.29,6.44,8,No,6,1,1,medium,0,7.316,8
110,8.76,8.41,10,Yes,9,6,1,high,1,9.504,16
80,6.7,6.82,1,No,4,3,1,medium,0,3.2800000000000002,8
125,7.14,7.49,7,No,10,5,5,medium,0,7.056,20
103,7.02,6.64,7,Yes,8,6,1,medium,1,7.008,15
124,8.56,8.96,6,Yes,6,10,5,high,1,7.024,21
89,9.59,9.17,8,No,3,6,5,high,0,8.636,14
127,8.33,8.18,10,No,10,10,2,high,0,9.332,22
111,7.36,7.47,1,Yes,7,7,0,medium,1,3.5440000000000005,14
108,8.9,8.96,1,No,8,7,4,high,0,4.16,19
103,8.2,7.8,1,No,8,6,5,high,0,3.88,19
96,5.3,5.6,6,Yes,9,1,4,low,1,5.72,14
118,5.48,5.95,7,Yes,3,8,2,low,1,6.392,13
102,5.19,4.87,10,No,5,10,4,low,0,8.076,19
70,7.28,7.68,9,Yes,3,4,2,high,1,8.312,9
83,9.13,9.19,10,Yes,0,1,2,high,1,9.652000000000001,3
97,6.57,7.01,5,Yes,5,10,5,medium,1,5.628,20
104,6.92,6.6,1,No,7,2,4,medium,0,3.3680000000000003,13
99,9.55,9.84,9,Yes,5,3,4,high,1,9.219999999999999,12
118,9.18,8.74,5,Yes,2,6,1,high,1,6.672000000000001,9
70,8.33,8.71,6,Yes,7,2,5,high,1,6.932,14
102,6.33,6.5,9,Yes,9,2,2,medium,1,7.9319999999999995,13
72,5.59,5.46,2,Yes,8,6,3,low,1,3.436,17
111,5.08,4.77,3,Yes,0,4,0,low,1,3.832,4
98,5.54,5.86,7,Yes,10,5,1,low,1,6.416,16
106,6.46,6.56,3,Yes,10,8,5,medium,1,4.384,23
87,7.76,7.62,2,Yes,5,3,2,high,1,4.304,10
119,5.32,5.26,7,No,9,5,5,low,0,6.328,19
115,5.68,6.01,8,No,7,1,1,medium,0,7.071999999999999,9
108,5.91,5.75,9,No,1,10,1,low,0,7.763999999999999,12
98,8.16,7.75,2,No,3,4,5,high,0,4.464,12
108,8.08,8.49,2,No,0,5,5,high,0,4.432,10
89,7.75,7.64,7,Yes,3,4,0,high,1,7.300000000000001,7
112,6.25,6.1,4,No,1,9,4,medium,0,4.9,14
124,6.86,6.56,5,No,2,8,4,medium,0,5.744,14
116,5.48,5.88,1,Yes,3,2,5,low,1,2.7920000000000003,10
89,6.13,5.85,6,No,2,9,0,low,0,6.052,11
105,9.49,9.63,10,No,5,2,5,high,0,9.796,12
80,9.9,10.28,8,No,6,6,1,,0,8.76,13
108,8.24,7.77,1,No,10,2,2,high,0,3.8960000000000004,14
106,9.58,9.91,2,Yes,6,6,4,high,1,5.032,16
71,8.21,8.12,7,Yes,0,6,3,high,1,7.484000000000001,9
82,5.17,5.33,2,Yes,4,7,5,low,1,3.268,16
95,9.98,9.85,9,Yes,2,10,5,high,1,9.392,17
95,5.49,5.69,6,No,0,5,2,low,0,5.795999999999999,7
81,8.41,8.16,5,Yes,0,3,1,high,1,6.364000000000001,4
105,6.26,5.78,7,No,1,2,3,low,0,6.704000000000001,6
103,6.96,7.41,10,Yes,9,4,2,medium,1,8.784,15
97,8.23,7.75,8,Yes,7,1,0,high,1,8.092,8
88,7.18,7.5,9,No,3,2,3,medium,0,8.271999999999998,8
115,6.25,5.92,6,No,9,8,5,low,0,6.1,22
124,6.67,6.56,5,No,2,5,1,medium,0,5.668,8
92,6.71,7.03,7,No,7,5,5,medium,0,6.884,17
90,9.8,9.51,2,Yes,1,3,3,high,1,5.12,7
107,8.99,9.36,8,No,8,1,0,high,0,8.396,9
94,7.29,7.29,4,No,3,6,4,medium,0,5.316000000000001,13
97,6.0,5.87,1,Yes,10,1,4,low,1,3.0000000000000004,15
111,9.06,9.22,3,Yes,8,4,5,high,1,5.424,17
71,5.79,5.63,9,No,0,4,4,low,0,7.715999999999999,8
119,6.05,5.9,4,Yes,4,3,0,low,1,4.82,7
101,6.83,7.06,10,No,9,4,5,medium,0,8.732,18
93,9.4,9.21,10,No,6,6,2,high,0,9.76,14
98,5.66,5.36,3,Yes,10,6,0,low,1,4.064,16
99,5.61,5.92,4,Yes,3,6,3,low,1,4.644,12
74,7.47,7.78,3,No,4,6,2,high,0,4.788,12
122,6.38,6.38,3,No,10,4,4,medium,0,4.352,18
100,7.84,7.87,2,Yes,8,7,5,high,1,4.336,20
106,7.26,7.46,6,No,5,7,0,medium,0,6.504,12
114,7.17,7.18,10,No,5,2,1,medium,0,8.868,8
84,5.56,5.48,6,Yes,1,6,4,low,1,5.824,11
107,5.71,6.2,10,No,0,5,1,medium,0,8.284,6
95,9.11,8.76,4,No,3,10,5,high,0,6.0440000000000005,18
112,9.43,9.52,8,Yes,9,1,2,high,1,8.572,12
68,6.17,6.56,6,No,2,3,4,medium,0,6.068,9
98,5.57,5.76,8,No,10,9,5,low,0,7.0280000000000005,24
90,5.27,5.65,6,Yes,6,9,0,low,1,5.708,15
106,8.04,7.88,9,Yes,6,10,1,high,1,8.616,17
107,8.58,8.35,3,No,5,9,0,high,0,5.232,14
89,6.86,7.21,3,Yes,4,10,4,medium,1,4.5440000000000005,18
89,8.4,8.29,2,No,2,5,0,high,0,4.5600000000000005,7
98,8.56,8.77,10,No,3,6,4,high,0,9.424,13
86,9.68,9.33,6,No,4,9,3,high,0,7.4719999999999995,16
112,5.32,5.58,7,No,3,4,0,low,0,6.328,7
94,5.96,6.01,7,Yes,2,4,3,medium,1,6.584,9
56,5.34,5.11,5,No,1,9,1,low,0,5.136,11
94,9.34,9.33,6,No,4,7,5,high,0,7.336,16
84,8.96,9.16,7,No,1,6,0,high,0,7.784000000000001,7
75,7.87,7.38,2,No,1,10,0,medium,0,4.348,11
81,5.42,5.56,10,No,1,6,1,low,0,8.168,8
101,6.37,6.41,7,Yes,1,5,0,medium,1,6.748,6
119,6.49,6.21,1,No,7,4,4,medium,0,3.196,15
104,7.8,8.05,6,Yes,6,3,3,high,1,6.72,12
90,6.29,6.09,8,Yes,8,7,2,medium,1,7.316,17
106,5.36,5.14,1,Yes,2,5,4,low,1,2.744,11
93,8.65,8.62,1,Yes,0,2,2,high,1,4.0600000000000005,4
89,6.5,6.68,6,No,5,3,1,medium,0,6.199999999999999,9
82,7.26,7.69,5,Yes,8,5,1,high,1,5.904,14
73,5.64,5.28,3,No,0,9,0,low,0,4.055999999999999,9
94,9.01,8.91,10,No,0,6,4,high,0,9.604,10
102,7.83,7.4,10,No,3,2,5,medium,0,9.132,10
98,9.51,9.77,7,No,9,8,2,high,0,8.004000000000001,19
93,7.48,7.43,7,No,0,6,3,medium,0,7.192,9
85,9.71,9.92,7,No,8,6,5,high,0,8.084,19
109,9.46,9.28,6,No,5,8,4,high,0,7.384,17
80,7.88,8.22,4,Yes,4,7,5,high,1,5.552,16
111,9.67,9.7,9,No,10,5,1,high,0,9.268,16
84,6.62,7.06,9,No,4,9,4,medium,0,8.048,17
88,6.83,6.41,7,No,10,1,3,medium,0,6.932,14
77,5.23,5.24,7,Yes,10,4,4,low,1,6.292,18
92,7.95,8.22,8,No,10,10,0,high,0,7.98,20
114,8.61,8.71,5,Yes,1,9,5,high,1,6.444,15
107,8.87,8.39,9,No,2,2,3,high,0,8.948,7
114,5.75,6.22,6,No,6,3,2,medium,0,5.9,11
107,7.22,7.02,7,Yes,3,3,1,medium,1,7.088,7
83,5.88,5.63,7,No,5,6,4,low,0,6.552,15
95,8.31,8.3,9,Yes,7,3,3,high,1,8.724,13
88,5.79,5.83,7,No,0,3,0,low,0,6.516,3
119,9.52,9.79,3,No,10,5,0,high,0,5.608,15
82,6.15,6.04,6,Yes,5,3,2,medium,1,6.0600000000000005,10
113,6.46,6.4,6,No,0,5,1,medium,0,6.183999999999999,6
113,9.25,9.28,7,Yes,7,3,0,high,1,7.9,10
127,7.29,7.18,6,Yes,3,2,1,medium,1,6.516,6
93,5.12,5.53,4,No,4,8,3,low,0,4.448,15
110,7.47,7.82,6,Yes,9,3,4,high,1,6.587999999999999,16
134,5.42,5.37,3,No,1,6,2,low,0,3.968,9
90,9.93,9.43,1,No,2,2,0,high,0,4.572,4
76,7.94,8.34,1,Yes,6,1,4,high,1,3.7760000000000002,11
71,6.28,5.9,5,No,6,8,0,low,0,5.5120000000000005,14
110,7.82,7.56,8,No,10,3,2,high,0,7.928,15
71,5.38,5.03,3,No,7,2,0,low,0,3.952,9
94,9.0,8.68,2,No,2,2,2,high,0,4.8,6
106,9.63,9.93,8,No,1,5,4,high,0,8.652000000000001,10
102,9.37,9.45,9,No,1,6,3,high,0,9.148,10
106,6.71,7.17,9,No,5,2,2,medium,0,8.084,9
103,6.63,6.36,2,No,1,6,3,medium,0,3.8520000000000003,10
119,5.18,5.17,8,No,10,1,1,low,0,6.872,12
85,8.26,8.74,2,No,3,9,4,high,0,4.5040000000000004,16
89,7.67,8.0,7,No,8,4,2,high,0,7.268000000000001,14
88,7.3,7.53,8,No,9,5,4,high,0,7.72,18
112,9.54,9.23,1,No,2,3,5,high,0,4.4159999999999995,10
113,5.84,6.11,8,Yes,0,6,3,medium,1,7.135999999999999,9
106,5.05,4.9,3,Yes,1,1,3,low,1,3.82,5
117,5.37,5.4,1,No,9,7,4,low,0,2.748,20
82,6.12,6.23,7,No,9,8,4,medium,0,6.648000000000001,21
125,5.17,5.28,10,No,6,3,5,low,0,8.068,14
122,7.51,7.74,3,No,8,2,3,high,0,4.804,13
111,6.57,6.73,8,Yes,8,4,5,medium,1,7.428,17
126,5.9,5.47,9,Yes,3,8,5,low,1,7.76,16
75,8.75,8.71,2,No,7,8,4,high,0,4.7,19
92,6.02,6.18,1,Yes,0,8,5,medium,1,3.008,13
88,8.44,8.24,8,No,10,2,3,high,0,8.176,15
110,6.75,6.56,10,Yes,10,4,1,medium,1,8.7,15
84,7.56,7.18,6,No,5,10,3,medium,0,6.624,18
111,9.67,9.59,10,Yes,7,1,5,high,1,9.868,13
120,5.19,5.68,1,Yes,1,7,0,low,1,2.676,8
110,7.5,7.29,3,Yes,7,10,3,medium,1,4.8,20
104,9.27,9.3,9,No,3,6,1,high,0,9.108,10
85,7.94,8.18,9,No,1,7,3,high,0,8.576,11
87,6.38,5.89,6,Yes,3,10,4,low,1,6.151999999999999,17
118,6.99,7.39,3,Yes,7,5,5,medium,1,4.596,17
111,8.4,8.29,8,No,3,6,1,high,0,8.16,10
99,9.45,9.82,6,No,7,6,2,high,0,7.379999999999999,15
93,5.21,4.75,1,Yes,6,6,3,low,1,2.684,15
69,5.36,5.01,6,No,4,9,4,low,0,5.744,17
83,6.63,6.45,5,Yes,7,4,2,medium,1,5.652,13
128,6.16,6.01,8,No,1,2,2,medium,0,7.264,5
80,6.32,6.67,2,Yes,2,9,2,medium,1,3.7280000000000006,13
102,6.11,5.62,7,No,3,10,0,low,0,6.644,13
115,5.98,6.12,6,No,9,7,5,medium,0,5.992,21
81,5.65,5.28,1,No,4,5,4,low,0,2.8600000000000003,13
102,9.67,9.99,8,No,4,6,0,high,0,8.668,10
114,5.72,6.0,6,Yes,0,7,4,low,1,5.888,11
100,6.02,6.02,3,Yes,0,5,4,medium,1,4.208,9
