studentid,cgpa,internships,projects,workshops/certifications,aptitudetestscore,softskillsrating,extracurricularactivities,placementtraining,ssc_marks,hsc_marks,placementstatus
1912,7.1,1,3,0,81,4.2,Yes,Yes,62,88,1.0
1913,7.8,0,3,0,84,3.8,Yes,Yes,59,71,
1914,6.5,1,1,3,87,4.2,Yes,Yes,80,82,1.0
1915,7.5,0,3,1,76,4.4,Yes,Yes,81,83,1.0
1916,8.3,2,3,2,87,4.6,Yes,Yes,78,82,1.0
1917,8.1,1,1,2,90,4.8,Yes,Yes,83,72,1.0
1918,7.5,2,3,2,79,4.4,Yes,Yes,70,80,1.0
1919,7.4,2,1,3,66,3.9,No,No,61,57,
1920,8.2,0,3,2,90,4.8,Yes,Yes,70,84,1.0
1921,8.1,0,3,0,69,4.1,Yes,No,67,59,
1922,8.6,1,3,0,82,4.8,Yes,Yes,87,68,
1923,6.5,1,2,1,78,4.4,Yes,Yes,77,73,
1924,6.5,1,2,0,70,3.7,Yes,Yes,61,69,
1925,7.4,1,1,1,78,4.3,No,Yes,55,66,
1926,6.9,1,2,1,78,4.5,No,Yes,68,64,1.0
1927,7.7,2,2,2,84,3.9,No,Yes,86,87,1.0
1928,8.1,2,3,2,90,4.8,Yes,Yes,81,85,1.0
1929,7.9,2,1,2,88,3.6,No,No,73,66,
1930,8.3,2,3,2,90,4.8,Yes,Yes,83,87,1.0
1931,8.4,2,3,2,90,4.8,Yes,Yes,72,82,1.0
1932,6.9,1,3,2,90,4.8,Yes,Yes,76,85,1.0
1933,8.2,0,1,0,76,4.4,Yes,Yes,56,81,
1934,8.5,1,3,0,84,4.7,Yes,Yes,58,85,1.0
1935,8.4,2,3,2,90,4.8,Yes,Yes,80,84,1.0
1936,7.2,2,2,2,79,4.4,Yes,Yes,83,82,1.0
1937,8.6,2,3,2,89,4.8,Yes,No,79,78,1.0
1938,7.6,2,2,1,90,4.7,Yes,Yes,70,70,
1939,7.6,0,1,0,67,4.3,Yes,Yes,59,69,
1940,7.5,0,2,0,69,3.7,No,No,58,65,
1941,7.6,1,1,0,66,4.1,No,Yes,58,69,
1942,6.6,1,3,2,90,4.8,Yes,Yes,67,83,
1943,7.6,0,1,0,81,3.9,Yes,Yes,61,83,1.0
1944,8.3,1,3,2,85,4.1,Yes,Yes,76,86,1.0
1945,6.5,0,1,1,81,4.0,No,Yes,55,67,
1946,8.4,2,3,2,89,4.8,Yes,Yes,73,81,
1947,6.5,1,1,1,60,4.0,No,No,55,74,
1948,8.1,2,3,0,90,4.8,Yes,Yes,83,88,1.0
1949,7.3,0,1,0,85,4.4,No,No,57,68,
1950,7.7,1,1,1,79,4.3,No,No,56,65,
1951,7.5,1,1,0,77,4.2,Yes,Yes,82,74,
1952,8.0,1,1,2,80,4.7,Yes,Yes,80,79,
1953,7.8,0,2,0,86,4.1,Yes,Yes,85,84,
1954,8.5,2,3,2,90,4.8,Yes,Yes,81,85,1.0
1955,6.5,0,2,1,77,4.1,Yes,No,55,68,
1956,7.8,1,1,1,87,4.2,Yes,Yes,59,86,1.0
1957,7.7,1,1,0,79,4.3,No,Yes,71,85,1.0
1958,7.7,0,1,0,73,3.6,No,No,55,65,
1959,7.5,1,1,0,78,3.3,No,No,64,61,
1960,6.5,2,1,2,86,4.7,Yes,No,65,82,1.0
1961,8.3,2,3,0,77,4.1,Yes,Yes,84,64,
1962,7.8,1,2,0,90,4.0,Yes,Yes,81,79,
1963,8.4,2,3,2,90,4.8,Yes,Yes,79,84,1.0
1964,7.6,1,2,0,70,3.9,No,Yes,55,60,
1965,6.8,0,2,0,73,4.3,Yes,Yes,64,63,1.0
1966,6.8,0,1,0,70,3.3,No,No,55,70,
1967,6.6,1,1,1,72,4.0,No,No,58,63,
1968,6.5,0,1,0,86,3.9,No,No,72,70,
1969,6.5,0,1,0,79,4.2,Yes,Yes,83,74,1.0
1970,7.8,1,1,0,66,4.6,No,No,57,67,
1971,7.6,0,1,2,83,4.8,Yes,Yes,78,81,1.0
1972,7.7,1,2,2,75,4.6,Yes,No,68,73,1.0
1973,8.2,1,1,0,75,4.1,Yes,No,65,70,
1974,6.5,1,1,0,85,3.7,No,No,60,74,
1975,6.5,1,1,1,64,4.0,No,No,55,71,
1976,8.2,2,3,2,90,4.8,Yes,Yes,84,85,1.0
1977,8.1,0,3,2,83,4.6,Yes,No,68,83,1.0
1978,7.9,1,2,0,90,4.8,Yes,Yes,76,80,1.0
1979,7.3,1,1,1,70,3.8,No,No,56,71,
1980,8.3,2,3,0,88,4.8,Yes,Yes,82,72,
1981,8.4,1,3,2,88,4.5,Yes,Yes,73,82,1.0
1982,7.3,1,3,0,89,3.8,No,No,79,71,
1983,7.7,1,2,1,69,4.1,Yes,No,57,63,
1984,8.3,1,1,0,81,4.7,No,No,75,69,
1985,7.6,2,1,1,76,3.5,No,Yes,58,81,
1986,8.0,1,1,2,75,3.6,Yes,Yes,55,64,
1987,7.7,2,2,1,71,4.4,No,Yes,55,66,
1988,7.5,0,2,1,67,4.4,No,Yes,55,68,
1989,8.4,2,3,1,85,4.4,Yes,Yes,78,83,1.0
1990,6.6,0,2,1,78,4.5,No,No,69,68,
1991,6.6,1,1,1,85,4.0,No,Yes,57,62,1.0
1992,6.5,1,1,1,66,3.7,No,Yes,55,61,
1993,7.0,0,2,0,66,4.3,No,Yes,79,63,1.0
1994,7.6,2,1,0,77,4.2,No,Yes,72,68,1.0
1995,7.7,0,1,0,65,4.3,No,Yes,55,64,
1996,6.5,0,3,0,73,4.6,Yes,Yes,75,74,1.0
1997,7.7,1,2,0,79,4.1,Yes,Yes,66,72,
1998,8.1,2,3,0,87,4.4,Yes,Yes,86,88,1.0
1999,7.5,1,1,1,73,4.7,Yes,No,61,67,
2000,8.0,2,3,2,90,4.7,Yes,Yes,82,86,1.0
2001,7.7,2,1,0,65,3.8,Yes,No,88,79,
2002,8.1,1,2,0,83,4.6,Yes,Yes,75,75,
2003,8.2,1,2,2,74,4.4,Yes,Yes,72,81,1.0
2004,7.3,1,2,2,75,4.6,Yes,Yes,77,74,1.0
2005,6.7,1,2,0,76,4.8,Yes,Yes,59,66,1.0
2006,8.0,1,3,3,90,4.6,Yes,Yes,72,88,1.0
2007,7.3,1,1,0,69,3.9,Yes,Yes,58,60,
2008,8.2,1,3,2,79,4.0,Yes,Yes,73,67,
2009,8.5,2,3,0,76,4.8,Yes,Yes,85,88,1.0
2010,8.1,2,3,2,90,3.7,Yes,Yes,78,77,1.0
2011,7.2,0,1,1,73,3.4,No,Yes,73,70,
2012,8.1,1,3,2,90,4.8,Yes,Yes,78,88,1.0
2013,6.9,0,2,1,82,4.2,Yes,Yes,73,86,1.0
2014,7.9,1,2,0,75,3.8,Yes,No,57,66,
2015,6.5,1,2,1,62,4.4,No,Yes,60,66,
2016,7.7,0,3,2,84,4.8,Yes,Yes,75,86,1.0
2017,7.6,1,2,0,68,4.3,Yes,Yes,84,63,
2018,8.9,2,3,2,90,4.8,Yes,Yes,82,88,1.0
2019,8.0,0,3,2,90,4.7,Yes,Yes,71,88,1.0
2020,7.4,1,3,2,90,4.8,Yes,Yes,79,83,1.0
2021,7.4,1,1,1,70,3.2,No,Yes,58,67,
2022,6.9,1,1,2,78,4.6,Yes,Yes,65,82,
2023,8.1,2,1,0,82,4.4,No,No,55,73,
2024,8.3,2,3,0,90,4.8,Yes,Yes,68,83,1.0
2025,6.5,1,2,0,85,3.4,No,Yes,57,71,
2026,7.7,2,3,1,88,4.3,No,Yes,56,83,
2027,7.3,1,1,0,70,3.7,Yes,Yes,61,67,
2028,7.4,0,3,2,75,4.3,Yes,Yes,88,84,1.0
2029,8.2,2,3,2,89,4.8,Yes,Yes,74,87,1.0
2030,7.6,1,1,0,74,4.1,No,Yes,55,64,
2031,6.8,1,1,0,64,4.2,No,Yes,63,67,
2032,8.4,1,3,0,87,4.1,Yes,No,55,84,
2033,8.3,2,3,2,89,4.6,Yes,Yes,77,88,1.0
2034,6.9,1,1,1,67,4.5,No,Yes,55,71,
2035,8.2,1,2,2,86,4.2,Yes,Yes,73,73,
2036,6.5,0,1,1,73,3.5,No,No,85,64,
2037,7.7,1,1,1,82,4.6,Yes,Yes,66,82,
2038,7.8,0,3,1,76,3.8,No,Yes,55,69,
2039,8.3,1,3,1,90,4.8,Yes,Yes,83,87,1.0
2040,7.5,1,3,1,79,3.8,Yes,Yes,62,63,1.0
2041,7.9,1,2,0,68,3.7,No,No,55,59,
2042,7.8,1,1,1,69,4.1,No,No,55,64,
2043,7.6,0,1,0,63,4.4,No,Yes,61,71,1.0
2044,7.4,1,3,1,61,4.8,No,No,58,73,
2045,7.8,0,2,0,89,3.9,Yes,Yes,70,74,
2046,7.5,0,1,1,70,4.3,No,No,64,66,
2047,6.6,1,1,0,70,4.1,No,No,55,67,
2048,7.6,0,1,0,61,3.8,No,Yes,55,61,
2049,8.6,2,3,1,90,4.8,Yes,Yes,75,88,1.0
2050,7.5,0,2,1,78,3.8,No,Yes,82,68,
2051,8.1,0,3,0,84,3.3,No,No,86,65,
2052,7.6,0,1,1,75,4.2,No,Yes,55,63,
2053,7.7,1,1,1,60,3.6,No,No,59,58,
2054,8.0,2,3,2,83,4.6,Yes,Yes,72,85,1.0
2055,8.3,2,3,2,90,4.8,Yes,Yes,78,87,1.0
2056,7.8,0,1,0,64,3.9,No,No,64,61,
2057,8.0,1,3,0,74,3.8,No,Yes,77,68,
2058,8.4,2,3,2,90,4.8,Yes,Yes,74,88,1.0
2059,8.7,2,3,2,90,4.8,Yes,Yes,80,86,1.0
2060,8.4,0,3,2,87,4.8,Yes,No,82,75,1.0
2061,7.1,1,1,0,79,3.8,No,No,55,61,
2062,8.1,1,2,0,78,4.2,Yes,Yes,84,82,1.0
2063,8.4,1,3,2,90,4.7,Yes,Yes,85,88,1.0
2064,8.8,0,3,2,89,4.5,Yes,Yes,77,87,1.0
2065,7.5,2,2,1,75,4.2,Yes,Yes,65,86,
2066,7.7,1,2,1,69,4.5,No,Yes,55,61,
2067,7.5,0,2,1,81,4.1,Yes,No,56,66,
2068,7.9,0,3,1,77,4.7,Yes,No,81,63,
2069,7.5,1,3,0,83,4.8,Yes,Yes,73,87,1.0
2070,8.6,1,3,0,87,4.7,Yes,Yes,81,88,1.0
2071,8.3,0,3,2,90,4.7,Yes,Yes,76,85,1.0
2072,7.6,0,2,1,69,4.8,No,No,80,71,
2073,6.7,1,1,0,81,4.6,Yes,Yes,57,70,1.0
2074,7.6,0,1,0,73,4.7,No,No,80,57,
2075,6.5,0,1,0,81,4.1,No,Yes,64,65,
2076,7.9,2,3,2,90,4.5,Yes,No,84,82,1.0
2077,8.4,0,3,2,90,4.7,Yes,Yes,82,87,1.0
2078,6.9,1,1,0,76,4.5,No,No,58,58,1.0
2079,7.8,2,3,2,82,4.6,Yes,No,84,76,
2080,7.3,1,1,0,74,4.5,No,No,67,65,
2081,6.8,0,2,1,76,4.0,No,Yes,55,65,
2082,7.6,0,2,0,84,4.5,Yes,Yes,69,86,1.0
2083,7.4,1,1,1,82,4.3,No,Yes,86,69,
2084,8.7,1,2,2,84,4.3,No,No,78,87,
2085,8.0,2,1,0,74,4.6,Yes,Yes,78,79,1.0
2086,7.9,0,3,2,89,4.5,No,No,63,59,1.0
2087,7.8,2,3,2,90,4.8,Yes,Yes,79,87,1.0
2088,7.8,1,2,0,77,4.2,No,Yes,79,70,1.0
2089,6.8,1,1,1,78,4.0,No,No,65,58,
2090,8.7,1,1,2,80,3.8,Yes,Yes,60,75,
2091,7.7,1,2,2,86,4.8,Yes,Yes,73,86,1.0
2092,7.6,1,1,1,77,4.0,No,Yes,55,74,1.0
2093,7.7,1,2,0,88,4.5,No,Yes,55,69,
2094,6.7,2,3,2,83,4.0,No,No,79,68,1.0
2095,7.7,1,1,0,82,4.3,No,Yes,60,63,
2096,8.2,0,2,2,83,4.8,Yes,Yes,78,82,1.0
2097,8.2,2,2,2,82,4.7,Yes,No,75,68,1.0
2098,6.9,2,3,0,80,4.4,Yes,Yes,74,67,
2099,8.1,1,3,2,90,4.3,Yes,Yes,74,80,
2100,8.1,1,3,3,89,4.8,Yes,Yes,66,86,1.0
2101,6.7,1,2,0,74,4.0,No,Yes,56,66,
2102,8.4,1,2,2,77,4.1,No,No,65,72,
2103,7.9,0,2,2,85,4.2,Yes,No,74,82,
2104,6.5,1,2,0,77,3.5,No,Yes,57,68,1.0
2105,7.5,0,1,1,79,4.4,No,Yes,76,71,
2106,8.1,2,3,2,85,4.8,Yes,Yes,80,79,1.0
2107,7.3,0,1,1,66,4.7,No,No,59,66,
2108,8.7,2,3,2,90,4.8,Yes,Yes,82,84,1.0
2109,7.5,1,1,0,70,4.4,No,Yes,70,64,
2110,8.1,1,1,0,60,3.7,Yes,No,77,66,
2111,8.7,2,3,2,90,4.8,Yes,Yes,87,88,1.0
2112,7.5,1,3,0,84,4.1,Yes,Yes,82,82,
2113,8.7,0,3,1,88,4.8,Yes,No,77,82,1.0
2114,8.0,2,3,2,90,4.5,Yes,Yes,77,88,1.0
2115,8.3,0,1,1,77,3.8,Yes,Yes,78,84,
2116,6.6,0,1,1,71,4.4,Yes,Yes,64,85,
2117,8.3,1,3,2,90,4.8,Yes,Yes,87,88,1.0
2118,7.8,0,1,0,81,4.2,No,No,63,58,
2119,8.0,1,1,2,84,4.6,Yes,No,76,84,1.0
2120,6.5,0,2,1,75,3.9,No,Yes,56,63,
2121,7.5,1,2,0,67,4.4,Yes,No,66,84,
2122,7.7,2,3,1,67,4.2,Yes,Yes,64,80,
2123,8.1,2,2,0,90,4.8,Yes,Yes,76,88,
2124,6.5,1,1,0,67,3.8,No,No,56,64,
2125,7.1,1,1,0,70,4.1,Yes,Yes,56,65,
2126,7.7,1,3,0,86,4.8,Yes,Yes,79,84,1.0
2127,8.7,2,3,2,90,4.8,Yes,Yes,73,82,1.0
2128,7.6,1,2,1,83,3.9,Yes,Yes,70,69,1.0
2129,8.6,1,2,0,77,4.7,No,Yes,55,68,1.0
2130,7.9,0,3,2,90,4.4,Yes,Yes,88,83,1.0
2131,8.1,0,2,0,70,4.8,Yes,Yes,78,86,1.0
2132,8.1,1,2,1,69,4.0,Yes,Yes,86,73,1.0
2133,8.1,1,1,0,62,3.0,No,No,55,67,
2134,8.2,2,3,2,90,4.8,Yes,No,83,82,1.0
2135,8.1,2,2,2,79,4.6,Yes,Yes,79,85,
2136,7.7,0,2,2,83,4.5,Yes,Yes,63,82,1.0
2137,6.5,1,2,1,72,4.6,Yes,Yes,82,71,
2138,8.0,2,2,2,90,4.8,Yes,Yes,75,85,1.0
2139,8.4,1,3,0,83,4.8,Yes,Yes,77,85,1.0
2140,6.5,1,0,0,88,4.7,Yes,Yes,74,67,1.0
2141,7.3,1,1,1,60,4.1,No,No,59,65,
2142,7.7,1,2,0,78,3.8,No,Yes,66,66,
2143,8.5,1,3,2,88,4.8,Yes,Yes,83,85,1.0
2144,6.6,1,2,2,73,3.3,Yes,Yes,64,83,1.0
2145,8.5,0,3,2,87,4.7,Yes,Yes,58,76,1.0
2146,6.5,1,1,0,76,3.8,No,No,55,70,
2147,8.5,2,3,1,90,4.7,Yes,Yes,75,88,1.0
2148,7.0,1,3,1,88,4.8,Yes,Yes,85,82,1.0
2149,8.2,1,3,0,77,4.5,Yes,Yes,75,88,1.0
2150,6.5,1,1,0,77,4.3,No,No,66,60,
2151,7.5,1,1,1,88,4.8,No,Yes,56,66,1.0
2152,7.6,1,2,2,87,4.8,Yes,Yes,90,76,
2153,6.5,1,1,1,60,4.0,No,No,70,71,
2154,6.6,1,2,1,69,3.6,No,Yes,55,70,
2155,7.8,1,2,0,82,4.0,No,Yes,70,60,
2156,8.4,2,3,2,90,4.8,Yes,No,72,85,1.0
2157,7.4,1,2,2,74,4.4,Yes,Yes,84,72,
2158,7.8,2,2,1,65,4.8,No,Yes,55,73,1.0
2159,7.9,0,2,1,79,4.8,Yes,Yes,61,66,
2160,7.4,1,1,1,68,4.5,No,No,69,68,
2161,8.4,0,3,2,90,4.8,Yes,Yes,88,83,1.0
2162,7.4,1,2,0,66,4.7,Yes,Yes,63,65,
2163,7.8,0,1,0,61,3.8,No,No,60,71,
2164,6.5,1,1,0,68,3.8,No,No,59,65,
2165,7.6,1,2,0,72,4.1,No,Yes,60,64,
2166,6.8,2,3,3,90,4.8,Yes,Yes,81,83,1.0
2167,8.0,1,2,2,80,4.7,Yes,No,72,80,
2168,7.9,0,1,2,87,4.7,Yes,Yes,89,85,
2169,8.7,0,3,2,90,4.8,Yes,Yes,79,85,1.0
2170,8.2,1,0,0,84,4.8,Yes,Yes,74,82,1.0
2171,8.5,1,3,2,83,4.8,Yes,Yes,76,87,1.0
2172,7.1,2,1,0,72,4.3,No,Yes,56,63,
2173,7.8,1,2,0,71,3.7,Yes,Yes,82,64,1.0
2174,8.3,0,2,2,84,4.8,Yes,Yes,87,86,1.0
2175,7.6,2,1,1,82,3.9,Yes,No,71,71,
2176,6.5,1,1,0,77,3.7,No,Yes,63,69,
2177,7.8,1,2,2,68,4.4,No,No,55,68,
2178,8.3,2,3,2,90,4.8,Yes,Yes,81,88,1.0
2179,8.4,2,3,2,90,4.8,Yes,Yes,88,80,1.0
2180,6.5,1,1,1,61,3.1,No,No,68,74,
2181,7.5,1,2,0,87,4.5,No,No,57,72,
2182,8.3,2,3,2,90,4.7,Yes,No,83,80,1.0
2183,7.7,2,3,2,90,4.7,Yes,Yes,79,88,1.0
2184,7.2,1,1,1,77,4.7,Yes,Yes,62,69,1.0
2185,8.0,1,3,1,83,4.7,Yes,Yes,77,83,
2186,6.9,1,1,0,76,4.3,No,Yes,60,64,
2187,7.8,2,1,1,74,3.6,Yes,Yes,57,72,
2188,8.6,1,2,2,85,3.7,Yes,Yes,81,83,
2189,7.9,1,3,0,78,4.6,Yes,Yes,78,85,1.0
2190,8.3,0,2,0,70,4.1,No,Yes,55,72,
2191,7.8,1,2,1,78,4.8,No,Yes,55,69,
2192,7.6,2,3,2,81,4.0,Yes,Yes,67,69,1.0
2193,7.3,0,1,0,67,3.6,No,No,55,58,
2194,7.8,1,1,0,79,4.0,No,Yes,55,70,
2195,7.4,1,1,0,74,4.4,Yes,Yes,71,81,1.0
2196,8.3,1,3,2,79,4.4,Yes,Yes,78,83,1.0
2197,8.0,1,2,2,74,4.1,No,Yes,70,84,1.0
2198,7.6,0,2,2,78,4.4,Yes,Yes,80,71,
2199,8.3,0,3,0,82,4.5,Yes,Yes,73,81,1.0
2200,8.5,2,3,0,90,4.8,Yes,No,74,88,1.0
2201,8.1,1,1,0,90,4.7,No,Yes,70,82,
2202,8.5,1,3,0,79,4.5,Yes,Yes,73,88,
2203,6.8,0,1,1,79,4.2,Yes,Yes,60,82,
2204,6.5,0,2,1,60,3.1,No,No,65,71,
2205,8.3,0,3,1,76,4.5,Yes,No,81,67,
2206,6.5,0,1,0,62,4.0,No,Yes,58,66,
2207,8.0,2,3,3,90,4.6,Yes,Yes,84,81,1.0
2208,7.8,1,1,0,89,4.7,Yes,Yes,79,69,
2209,8.9,2,3,2,86,4.7,Yes,Yes,71,88,1.0
2210,8.3,1,3,2,85,4.8,Yes,Yes,71,70,1.0
2211,8.5,2,3,2,90,4.7,Yes,Yes,84,86,1.0
2212,8.5,0,1,1,90,4.8,Yes,No,61,75,
2213,6.5,1,1,1,62,4.1,No,Yes,63,67,
2214,8.1,0,1,2,81,4.1,Yes,Yes,74,66,1.0
2215,6.5,0,1,1,65,4.2,No,Yes,58,70,
2216,7.7,2,3,2,89,4.8,Yes,Yes,86,79,1.0
2217,8.2,1,2,0,68,4.2,No,No,57,64,
2218,6.7,1,1,1,70,4.5,No,Yes,75,72,
2219,7.5,0,1,1,71,3.4,No,No,66,74,
2220,8.3,2,3,2,82,4.8,Yes,Yes,79,81,1.0
2221,6.5,1,2,3,77,4.4,Yes,No,64,80,
2222,6.5,0,2,0,71,3.4,No,Yes,55,73,
2223,7.4,1,2,0,65,3.9,No,No,74,66,
2224,6.5,1,2,1,76,4.3,No,No,69,62,1.0
2225,7.4,0,3,2,90,4.7,Yes,Yes,83,88,1.0
2226,7.7,0,1,1,66,3.4,No,No,67,64,
2227,8.4,1,3,2,81,4.3,No,Yes,74,66,1.0
2228,7.8,1,3,0,81,4.5,Yes,Yes,79,72,1.0
2229,8.0,1,3,2,90,4.7,Yes,Yes,72,84,
2230,8.3,2,3,2,90,4.8,Yes,Yes,75,80,1.0
2231,8.0,1,3,0,83,4.8,No,Yes,75,83,
2232,8.4,1,3,1,78,4.4,No,No,69,73,
2233,8.3,2,3,2,90,4.8,Yes,Yes,88,87,1.0
2234,8.4,2,3,2,84,4.8,No,Yes,73,71,1.0
2235,8.5,1,3,2,86,4.6,Yes,Yes,64,83,1.0
2236,8.3,1,2,2,90,4.8,Yes,Yes,90,84,1.0
2237,8.5,1,2,3,90,4.8,No,Yes,70,72,
2238,6.8,0,2,1,89,3.9,No,Yes,63,61,1.0
2239,7.5,1,2,0,82,4.4,No,Yes,57,61,1.0
2240,7.4,1,2,1,64,3.5,No,No,62,69,
2241,7.8,1,1,0,73,3.2,No,Yes,57,69,
2242,7.5,1,1,0,68,4.1,No,Yes,82,67,
2243,6.5,2,3,0,89,4.4,Yes,Yes,77,73,1.0
2244,7.5,1,2,0,79,3.8,No,No,64,70,
2245,7.4,0,1,1,69,4.0,No,Yes,60,71,
2246,8.0,1,2,1,83,4.0,Yes,Yes,75,68,1.0
2247,8.5,2,2,2,69,4.4,No,Yes,76,81,
2248,7.8,1,3,0,87,4.1,Yes,Yes,66,63,
2249,6.6,0,2,0,64,4.2,No,No,55,85,
2250,8.5,1,2,1,76,3.8,No,Yes,58,70,
2251,6.5,1,2,1,66,4.2,No,No,55,72,
2252,7.6,1,3,3,78,4.7,Yes,No,86,74,1.0
2253,7.7,1,1,1,75,4.6,No,Yes,72,75,
2254,8.0,2,3,0,90,4.4,Yes,Yes,72,85,1.0
2255,8.0,1,3,2,86,4.8,Yes,No,84,85,1.0
2256,6.8,1,2,0,75,4.5,Yes,Yes,76,80,
2257,8.2,1,3,2,79,4.1,Yes,Yes,78,65,1.0
2258,8.1,2,3,2,86,4.5,Yes,Yes,84,81,1.0
2259,8.3,1,2,0,82,4.6,Yes,Yes,85,86,1.0
2260,8.2,2,3,2,90,4.8,Yes,Yes,80,86,1.0
2261,7.6,1,2,0,85,4.6,No,Yes,78,73,
2262,6.5,1,2,0,76,4.2,No,Yes,55,65,
2263,8.3,1,2,1,84,4.7,Yes,Yes,59,69,
2264,7.4,0,1,0,85,3.9,No,Yes,68,63,
2265,7.6,1,2,0,77,4.1,No,Yes,68,72,1.0
2266,8.4,2,3,1,83,4.6,Yes,Yes,79,83,1.0
2267,7.4,1,1,0,74,4.1,No,Yes,56,62,
2268,8.0,1,1,0,77,3.9,Yes,Yes,72,68,1.0
2269,8.2,0,3,2,80,4.8,Yes,Yes,80,83,1.0
2270,8.2,1,2,2,89,4.3,Yes,Yes,76,83,1.0
2271,8.0,0,2,2,83,4.6,Yes,Yes,82,78,
2272,7.8,2,3,0,75,4.5,Yes,Yes,72,81,1.0
2273,8.0,1,2,1,80,3.4,Yes,Yes,76,82,
2274,6.5,2,2,2,79,4.4,No,No,80,71,1.0
2275,6.5,1,1,0,62,4.0,No,No,61,74,
2276,7.9,1,1,1,78,4.2,No,No,55,69,
2277,6.5,0,1,0,73,3.7,No,No,72,67,
2278,7.8,1,3,2,90,4.8,Yes,Yes,79,83,1.0
2279,7.8,1,2,0,72,4.5,No,Yes,55,69,
2280,8.0,2,3,2,87,4.5,Yes,Yes,71,85,1.0
2281,8.3,0,3,2,74,4.1,Yes,Yes,70,84,
2282,6.6,1,1,0,68,3.9,Yes,Yes,55,67,1.0
2283,7.5,1,3,1,78,4.0,No,No,83,73,
2284,7.6,1,1,1,70,4.5,No,No,62,71,
2285,7.7,0,1,0,65,3.9,No,No,74,69,
2286,7.4,1,2,0,80,4.3,No,Yes,65,67,
2287,8.5,1,1,0,75,4.2,Yes,Yes,58,71,
2288,7.5,1,2,1,67,3.3,No,Yes,55,67,
2289,7.6,1,3,0,82,4.8,Yes,Yes,69,84,1.0
2290,8.0,1,2,1,80,4.2,Yes,No,77,69,
2291,8.7,1,3,2,80,4.7,Yes,Yes,76,82,1.0
2292,6.5,0,2,0,76,3.6,No,Yes,55,66,
2293,8.2,1,3,2,76,4.4,Yes,Yes,66,86,
2294,6.5,1,1,0,80,4.4,No,Yes,59,69,
2295,8.4,2,3,2,90,4.5,Yes,No,75,86,1.0
2296,7.9,2,1,2,81,4.8,Yes,No,82,82,1.0
2297,7.6,1,2,0,71,4.1,No,No,56,63,
2298,7.5,1,1,1,73,4.2,Yes,Yes,64,72,
2299,7.5,1,1,1,62,4.3,No,No,60,61,
2300,8.4,0,1,1,67,4.1,No,No,78,58,1.0
2301,8.8,0,3,0,82,4.8,Yes,Yes,63,78,1.0
2302,8.0,1,3,3,90,4.8,Yes,Yes,82,84,1.0
2303,8.6,2,3,2,90,4.5,Yes,Yes,84,82,1.0
2304,8.4,2,3,2,90,4.8,Yes,Yes,77,77,
2305,8.2,1,3,2,90,3.6,Yes,Yes,75,80,1.0
2306,7.3,1,1,1,64,4.1,No,No,59,60,
2307,6.5,1,2,2,75,4.1,Yes,Yes,66,70,1.0
2308,7.4,1,1,1,63,3.6,No,No,65,65,
2309,8.0,2,1,0,77,4.5,No,Yes,59,65,
2310,7.9,1,2,0,80,4.5,No,Yes,59,66,
2311,8.3,0,3,0,88,4.7,Yes,Yes,70,80,
2312,7.0,1,3,1,90,4.7,Yes,Yes,74,60,
2313,6.5,1,2,0,80,4.4,No,Yes,59,68,
2314,8.2,1,3,0,77,4.3,No,No,55,73,
2315,8.7,1,2,1,90,4.6,No,No,74,68,
2316,7.5,1,1,0,76,4.5,Yes,Yes,79,88,1.0
2317,7.6,1,1,0,60,4.0,No,No,56,64,
2318,7.6,1,3,0,84,4.1,No,No,57,73,
2319,8.3,1,3,2,89,4.7,Yes,Yes,72,80,
2320,7.4,0,1,1,90,4.8,Yes,Yes,71,69,
2321,7.6,1,2,0,79,4.1,No,Yes,71,62,
2322,7.4,1,2,1,62,4.5,Yes,Yes,60,66,
2323,7.5,0,1,1,71,4.4,Yes,Yes,79,74,
2324,7.7,1,1,0,75,3.6,No,Yes,59,71,
2325,6.5,2,2,1,81,4.8,No,No,61,69,
2326,7.4,2,3,1,79,4.4,No,Yes,75,73,
2327,7.5,1,1,0,67,4.3,No,No,61,69,
2328,7.8,1,3,0,90,4.6,No,Yes,64,83,
2329,8.1,1,1,0,72,4.0,No,No,85,62,
2330,8.0,1,3,0,83,4.1,Yes,Yes,82,83,1.0
2331,7.4,2,2,1,78,4.3,Yes,No,68,69,
2332,8.6,2,3,2,86,4.1,Yes,Yes,75,85,1.0
2333,7.6,1,3,1,73,3.9,Yes,No,72,73,1.0
2334,8.0,0,3,2,90,4.8,Yes,Yes,79,83,1.0
2335,7.6,1,3,2,90,4.3,Yes,Yes,55,86,1.0
2336,7.3,1,1,1,73,4.0,No,Yes,55,67,
2337,7.5,1,2,1,90,3.4,No,Yes,59,72,
2338,8.0,1,3,2,84,4.7,Yes,Yes,90,86,1.0
2339,8.5,0,3,3,84,4.6,No,Yes,86,70,
2340,8.6,1,3,1,88,4.8,Yes,Yes,71,80,
2341,6.6,1,1,0,69,4.2,Yes,Yes,55,69,
2342,7.7,1,1,1,79,3.9,No,Yes,55,61,
2343,8.7,2,2,1,72,4.6,Yes,Yes,77,77,
2344,7.5,1,2,0,65,3.5,No,No,55,63,
2345,6.7,1,1,1,76,4.6,No,No,62,68,
2346,7.2,1,3,2,81,4.8,No,Yes,83,84,1.0
2347,6.9,1,1,1,76,4.8,Yes,Yes,58,66,
